id	Unnamed: 0	N_seqs	N_discarderd_singl	N_discarderd_len	N_discarded_quality	N_discarded_align	N_discarded_overl	av_gene_len	std_gene_len	N_unique_seqs	Nu_discarded_frame
pat1_day3669	0	4544	8637	17	161	14		411.04269366197184	0.3710820652022393	716.0	2.0
pat9_day1365	1	22730	2279	18	173	39		410.989793224813	0.1278665212525173	668.0	19.0
pat7_day1261	2	13238	3379	4	111	23		416.9972050158634	0.0555817654222162	623.0	1.0
pat1_day1803	3	30885	10365	26	245	234		410.9962441314554	0.0787559740993177	2268.0	37.0
pat4_day175	4	26852	1565	16	161	20		410.985624906897	0.1492883977364914	790.0	23.0
pat3_day945	5	4470	1154	3	48	6		410.9982102908277	0.0422670807288395	209.0	0.0
pat8_day440	6	42144	8805	21	337	68		414.0925161351557	0.3122969951493166	1164.0	156.0
pat3_day2624	7	30799	12413	30	285	31		410.9981168219748	0.0462534361850568	3171.0	3.0
pat2_day1148	8	27080	6265	19	177	14		408.00908419497785	0.3045546236072292	735.0	14.0
pat1_day1144	9	38729	6518	16	211	41		410.98613442123474	0.1279009410914884	1139.0	55.0
pat4_day1615	10	8539	3150	3724	107	59		410.9946129523364	0.0822395535186984	759.0	250.0
pat8_day196	11	44806	7696	22	313	76		413.9846449136276	0.2254524581511477	1434.0	23.0
pat4_day911	12	21302	4060	18	182	84		410.9903764904704	0.1176849221228165	579.0	34.0
pat2_day1002	13	48447	9344	46	329	57		407.9935806138667	0.1276162679285102	1346.0	26.0
pat7_day1884	14	23934	8989	17	240	129		416.9986212083229	0.0392939801307471	1949.0	2.0
pat1_day1646	15	43403	10509	22	256	30		410.9930419556252	0.0892718576424727	1957.0	57.0
pat5_day275	16	26571	2116	17	150	22		410.9878815249708	0.1412453217039886	807.0	24.0
pat9_day449	17	47000	4111	20	220	146		410.98789361702126	0.1528531118068743	1180.0	32.0
pat8_day603	18	22894	4368	14	217	28		413.9852799860225	0.1367354144654548	754.0	25.0
pat2_day2997	19	16567	4504	13	143	32		411.9194784813183	3.5919954897806274	593.0	8.0
pat1_day4660	20	44237	9911	18	339	22		410.9913194836901	0.1063852729155059	2087.0	40.0
pat4_day764	21	19791	4070	16	173	27		410.80673033196905	0.4045958702077453	640.0	156.0
pat1_day1474	22	48911	8774	21	278	22		410.986178978144	0.128103715094322	1575.0	62.0
pat5_day1324	23	19162	4245	7	138	12		410.8808057614028	0.4714896524665697	771.0	81.0
pat2_day2829	24	14000	3041	15	127	6		410.95185714285714	0.3669908245530431	467.0	3.0
pat2_day2170	25	16852	4695	13	198	13		409.2441253263708	1.5773751284048898	852.0	5.0
pat5_day696	26	55034	9293	38	355	59		410.99200494239926	0.104282172487109	1621.0	34.0
pat7_day150	27	7463	1172	4	79	15		416.9859305909152	0.173835480341785	221.0	7.0
pat8_day1644	28	36932	6949	26	326	81		410.9950991010506	0.0867779092680673	990.0	16.0
pat1_day3516	29	14912	8385	10	102	21		410.6429721030043	1.5799335046292564	1399.0	117.0
pat9_day1149	30	53125	10362	30	380	44		410.9946729411765	0.0864997727140642	2105.0	14.0
pat3_day742	31	9962	2005	10	84	14		410.99578397912063	0.0678216178317723	174.0	1.0
pat5_day1205	32	36593	8054	24	236	49		410.99259421200776	0.1112619719154056	1272.0	10.0
pat8_day771	33	45960	7369	32	276	77		413.99181897302	0.1098820411380068	1324.0	27.0
pat9_day778	34	31585	6935	11	165	128		410.99578914041473	0.0768296854061385	1322.0	10.0
pat1_day3207	35	13815	4554	7	101	13		410.6498733260949	1.203428486236465	855.0	20.0
pat3_day2092	36	7844	1873	9	66	9		410.9982151963284	0.0575451984613915	337.0	1.0
pat1_day3301	37	13207	15482	15	193	29		408.23563261906565	3.015252502817682	1900.0	5.0
pat5_day191	38	27057	1831	15	128	35		410.9883579110766	0.1495743973770545	814.0	21.0
pat3_day1777	39	10892	2794	16	150	111		410.9989900844657	0.0933861759960296	518.0	0.0
pat6_day2114	40	5877	2160	4	53	11		416.7418751063468	1.4514679886786803	390.0	0.0
